Sentence,Class
The process starts when I wake up ,Relevant
Sometimes  I am a bit tired,Irrelevant
When I am awake  I take a shower ,Relevant
Then I put my clothes on ,Relevant
Afterwards  I go to the kitchen  and I eat my breakfast,Relevant
When I finished  I clean the table up ,Relevant
I put my shoes on and I’m ready to go ,Relevant
I ride to the school ,Relevant
I park my car close to HEC,Relevant
I go the right amphitheatre to attend my lesson,Relevant
To start the process  I look on the schedule to know what the next meeting is and who must prepare it ,Relevant
If it is not my turn to prepare it  I make sure that the ones who must prepare are aware of it   then it is the end of the process,Relevant
If it is my turn to prepare it  I look at the theme of the next meeting,Relevant
Then I try to set up a game which will suits everyone,Relevant
Sometimes  it is very complicated because I don’t always have imagination,Irrelevant
When I found something  I make a list with everything I need for,Relevant
I check if we already have the material we need,Relevant
If we don’t  I go the store to buy what we need,Relevant
On Saturday  I go to the place where we will do the meeting and I set everything up,Relevant
During the meeting  I check if everything goes right,Relevant
After the meeting  me and the staff clean everything up,Relevant
The process ends,Relevant
The process starts when I want to run,Relevant
First  I check if the weather is good or not,Relevant
If the weather is bad  I stay at home and the process is over,Relevant
For example  if it is raining  I would rather stay at home than go running,Irrelevant
If the weather is ok  I search for an itinerary,Relevant
When I found it  I put my running clothes on,Relevant
I start running,Relevant
When I finish  I stretch myself,Relevant
I put my clothes in the wash machine ,Relevant
I take a shower and it is the end of the process,Relevant
The process starts when I have a question to ask to one of my professors,Relevant
First  I look at the email address of my professor,Relevant
When I find it  I make sure it is the right one,Relevant
If it isn’t the right one  it is a problem because my professor will never receive my question,Irrelevant
Then I write the email,Relevant
After I wrote it  I reread it to make sure that it is complete,Relevant
If it is not complete  I rewrite it,Relevant
Then I check if there aren’t any mistakes,Relevant
If there are  I modify it,Relevant
I send the email and it is the end of the process,Relevant
McDonalds is a fast food chain  which also offers a  Drive IN  service,Irrelevant
The process starts when a customer stops at the McDrive intercom,Relevant
McDonalds employees are notified that a customer is waiting,Relevant
An employee asks for his order via the intercom,Relevant
The customer communicates his order via the intercom,Relevant
For example  a McMenu with Sprite and McFlurry,Irrelevant
Then  the customer drives to the payment terminal,Relevant
The customer pays cash or pays by card,Relevant
Meanwhile  McDonalds employees are preparing his order in the kitchen,Relevant
McDonald s kitchens contain all the equipment needed to cook burgers,Irrelevant
Then the client drives to the pickup window,Relevant
A McDonalds employee supplies him with his order,Relevant
The customer takes the order and leaves the McDrive  the process is finished,Relevant
Uber is a company that develops and operates mobile applications that connect users with drivers who provide transportation services,Irrelevant
The process starts when a customer downloads the app.,Relevant
The customer must first register or login to the application,Relevant
If the customer registers for the first time  he must choose a payment method and verify his account,Relevant
Now that the customer is connected  he can request an Uber,Relevant
To do this  he has to enter where he wants to be picked up  either manually or using his current position  and he has to enter the address of his destination,Relevant
The customer could ask to go from where he is  near the amphitheaters at Sart Tilman  to  la place cathédrale  in Liège,Irrelevant
The customer now has a choice of several drivers in the area and can choose one ,Relevant
He could ask for a black Audi instead of a scooter ,Irrelevant
Once the driver arrives  the client is driven to the destination,Relevant
Upon arrival at the destination  the customer must pay  he has the choice to give a tip or not.,Relevant
As soon as the payment is made and the customer has left the vehicle  the process is finished,Relevant
The process starts when the customer enters the the cinema.,Relevant
The employees notice the new customer,Irrelevant
Once at the counter  the employee checks if the customer already has a ticket,Relevant
If he has one  the employee scans the code,Relevant
If he does not have one  the employee asks what the client wants  which session and how many seats ,Relevant
He could  for example  go see the latest James Bond movie at 8pm with his family ,Irrelevant
The customer can choose to pay by card or not cash,Relevant
Once the payment is made  the customer receives his tickets and can go to the room,Relevant
On the way to the room  the customer can decide to buy food and drinks. ,Relevant
The choice is large  popcorns  chips and candies. ,Irrelevant
Once in the room  the client sits down and can watch the film,Relevant
When the session is over  the clients leave the room ,Relevant
The process ends ,Relevant
The process ends once the room has been washed by an employee,Relevant
The process begins when a customer makes a reservation,Relevant
The client can make it online  by phone or directly at the counter.,Relevant
If being made online  an employee receives a notification if there is still a room available,Relevant
If there s no room left  the client receives a notification telling him there s no room,Relevant
By phone or live at the counter  the employee must fill in the check in form,Relevant
Once the client enters the hotel and comes at the counter  an employee welcomes him ,Relevant
If it is a question from a current client  the employee answers it,Relevant
If it is about booking a room  the employee must ask if the client has a reservation,Relevant
When the client has a reservation  the employee must ask if it is already paid,Relevant
If it is not  the client must pay,Relevant
When the client has no reservation  the employee checks if there are still available room,Relevant
If there is one  he fills in the check in form and ask the client to pay,Relevant
If there isn t one  the employee sends the client away,Relevant
When everything is completed and paid  the employee explain how it works inside the hotel,Relevant
Like the schedule for the breakfast or how to get the wifi,Irrelevant
Then the employee gives the key to the room,Relevant
The process ends with the client giving the key back to the employee at the counter,Relevant
Pom is a Belgian company that allows you to pay your bills with QR codes,Irrelevant
The process starts when the user receives an invoice,Relevant
His monthly electricity bill  for example,Irrelevant
